Community ID (AWS),Inspire_Name,Ad Unit Name (DFP),Topic_ID (DFP…sometimes AWS),topic_name_id
200030,agmd-gi-motility,agmd-gi-motility,18,issues-pertaining-to-young-adults
200030,agmd-gi-motility,agmd-gi-motility,19,pain-issues
200030,agmd-gi-motility,agmd-gi-motility,20,relationships
200030,agmd-gi-motility,agmd-gi-motility,21,finding-encouragement
200030,agmd-gi-motility,agmd-gi-motility,1189,recipes
200030,agmd-gi-motility,agmd-gi-motility,22,alternative-therapies
200030,agmd-gi-motility,agmd-gi-motility,23,caregivers
200030,agmd-gi-motility,agmd-gi-motility,24,open-discussion
200030,agmd-gi-motility,agmd-gi-motility,25,help-desk
200035,alcohol-abuse,alcohol-abuse,56,my-struggle-with-alcohol
200035,alcohol-abuse,alcohol-abuse,57,finding-help
200035,alcohol-abuse,alcohol-abuse,58,recovery
200035,alcohol-abuse,alcohol-abuse,59,family-and-friends-of-alcoholics
200035,alcohol-abuse,alcohol-abuse,60,in-the-news
200204,allergies,allergies,3140,drug-allergies
200204,allergies,allergies,2280,food-allergies
200204,allergies,allergies,2281,food-allergies-and-school
200204,allergies,allergies,3141,indoor-allergies
200204,allergies,allergies,3142,seasonal-allergies
200204,allergies,allergies,3143,skin-and-eye-allergies
200204,allergies,allergies,3144,other-allergies
200204,allergies,allergies,2283,advocacy
200204,allergies,allergies,2282,research
200031,als,als,26,newly-diagnosed
200031,als,als,27,living-with-als
200031,als,als,28,family-and-friends
200031,als,als,30,medications-and-therapies
200031,als,als,31,assistive-technology-and-equipment
200031,als,als,1157,als-and-military-service
200031,als,als,29,symptoms
200031,als,als,32,in-the-news
200032,als-association,als-association,33,national-als-advocacy-day
200032,als-association,als-association,34,familial-als
200032,als-association,als-association,35,medicare-prescription-drug-benefit
200032,als-association,als-association,36,children-and-families
200032,als-association,als-association,37,als-and-the-military
200002,alternative-therapies,alternative-therapies,83,experiences-with-alternative-therapies
200002,alternative-therapies,alternative-therapies,84,alternative-therapy-options-and-questions
200002,alternative-therapies,alternative-therapies,85,finding-a-provider
200002,alternative-therapies,alternative-therapies,86,in-the-news
200038,alzheimers-foundation-of-america,alzheimers-foundation-of-america,2442,diagnosis
200038,alzheimers-foundation-of-america,alzheimers-foundation-of-america,2443,treatment-options-and-clinical-trials
200038,alzheimers-foundation-of-america,alzheimers-foundation-of-america,2444,living-with-alzheimers-disease
200038,alzheimers-foundation-of-america,alzheimers-foundation-of-america,2445,young-onset-alzheimers-disease
200038,alzheimers-foundation-of-america,alzheimers-foundation-of-america,2858,mild-cognitive-impairment-mci
200038,alzheimers-foundation-of-america,alzheimers-foundation-of-america,2446,latest-news
200038,alzheimers-foundation-of-america,alzheimers-foundation-of-america,2447,financial-issues
200038,alzheimers-foundation-of-america,alzheimers-foundation-of-america,2448,end-of-life-decision-making
200038,alzheimers-foundation-of-america,alzheimers-foundation-of-america,2449,everyday-challenges-daily-living
200038,alzheimers-foundation-of-america,alzheimers-foundation-of-america,2712,behavioral-challenges
200038,alzheimers-foundation-of-america,alzheimers-foundation-of-america,2450,balancing-caregiver-responsibilities
200038,alzheimers-foundation-of-america,alzheimers-foundation-of-america,2451,activities-mental-physical-social
200038,alzheimers-foundation-of-america,alzheimers-foundation-of-america,2452,adult-children
200054,american-brain-tumor-association,american-brain-tumor-association,208,newly-diagnosed
200054,american-brain-tumor-association,american-brain-tumor-association,211,treatments
200054,american-brain-tumor-association,american-brain-tumor-association,212,recovery
200054,american-brain-tumor-association,american-brain-tumor-association,209,living-with-a-brain-tumor
200054,american-brain-tumor-association,american-brain-tumor-association,2539,metastatic-tumors
200054,american-brain-tumor-association,american-brain-tumor-association,2493,survivor-stories
200054,american-brain-tumor-association,american-brain-tumor-association,3152,low-grade-tumors
200054,american-brain-tumor-association,american-brain-tumor-association,3153,malignant-tumors
200054,american-brain-tumor-association,american-brain-tumor-association,2710,non-malignant-tumors
200054,american-brain-tumor-association,american-brain-tumor-association,213,caregiver-corner
200054,american-brain-tumor-association,american-brain-tumor-association,2540,adolescents-and-young-adults
200054,american-brain-tumor-association,american-brain-tumor-association,210,tumors-in-children
200054,american-brain-tumor-association,american-brain-tumor-association,2633,grief-and-loss
200054,american-brain-tumor-association,american-brain-tumor-association,2711,abta-events
200054,american-brain-tumor-association,american-brain-tumor-association,214,in-the-news
200054,american-brain-tumor-association,american-brain-tumor-association,2541,just-for-fun
200173,american-childhood-cancer-organization,american-childhood-cancer-organization,1620,newly-diagnosed
200173,american-childhood-cancer-organization,american-childhood-cancer-organization,1621,raising-a-child-with-cancer
200173,american-childhood-cancer-organization,american-childhood-cancer-organization,1623,awareness-and-fundraising
200173,american-childhood-cancer-organization,american-childhood-cancer-organization,1624,emotional-support-for-my-child
200173,american-childhood-cancer-organization,american-childhood-cancer-organization,1625,emotional-support-for-parents-and-caregivers
200173,american-childhood-cancer-organization,american-childhood-cancer-organization,1626,teens
200173,american-childhood-cancer-organization,american-childhood-cancer-organization,1627,brothers-and-sisters
200173,american-childhood-cancer-organization,american-childhood-cancer-organization,1628,financial-and-insurance-issues
200173,american-childhood-cancer-organization,american-childhood-cancer-organization,2556,advocacy
200173,american-childhood-cancer-organization,american-childhood-cancer-organization,1622,treatment
200173,american-childhood-cancer-organization,american-childhood-cancer-organization,3134,pain-palliative-care
200173,american-childhood-cancer-organization,american-childhood-cancer-organization,3135,hospice-end-of-life-care
200174,american-liver-foundation,american-liver-foundation,1640,pediatric-liver-diseases
200174,american-liver-foundation,american-liver-foundation,1641,alcohol-induced-liver-disease
200174,american-liver-foundation,american-liver-foundation,1642,hemochromatosis
200174,american-liver-foundation,american-liver-foundation,1643,other-inherited-liver-diseases
200174,american-liver-foundation,american-liver-foundation,1644,hepatitis
200174,american-liver-foundation,american-liver-foundation,2735,hepatitis-c
200174,american-liver-foundation,american-liver-foundation,2755,hepatic-encephalopathy-he
200174,american-liver-foundation,american-liver-foundation,1645,primary-biliary-cirrhosis-pbc-and-primary-sclerosing-cholangitis-psc
200174,american-liver-foundation,american-liver-foundation,1646,liver-cancer
200174,american-liver-foundation,american-liver-foundation,1647,liver-transplants
200174,american-liver-foundation,american-liver-foundation,1648,living-with-a-liver-disease
200174,american-liver-foundation,american-liver-foundation,1649,family-and-caregivers
200174,american-liver-foundation,american-liver-foundation,2874,nutrition-diet-and-exercise
200221,american-lung-association-copd,american-lung-association-copd,2543,newly-diagnosed
200221,american-lung-association-copd,american-lung-association-copd,2544,treatments-and-side-effects
200221,american-lung-association-copd,american-lung-association-copd,2545,living-with-copd
200221,american-lung-association-copd,american-lung-association-copd,2546,family-friends-and-caregivers
200221,american-lung-association-copd,american-lung-association-copd,2547,copd-news-and-research
200101,american-lung-association-lung-cancer-survivors,american-lung-association-lung-cancer-survivors,2786,alk-mutations-and-lung-cancer
200101,american-lung-association-lung-cancer-survivors,american-lung-association-lung-cancer-survivors,619,non-small-cell-lung-cancer
200101,american-lung-association-lung-cancer-survivors,american-lung-association-lung-cancer-survivors,620,non-small-cell-lung-cancer-general
200101,american-lung-association-lung-cancer-survivors,american-lung-association-lung-cancer-survivors,621,non-small-cell-lung-cancer-stage-i
200101,american-lung-association-lung-cancer-survivors,american-lung-association-lung-cancer-survivors,622,non-small-cell-lung-cancer-stage-ii
200101,american-lung-association-lung-cancer-survivors,american-lung-association-lung-cancer-survivors,623,non-small-cell-lung-cancer-stage-iii
200101,american-lung-association-lung-cancer-survivors,american-lung-association-lung-cancer-survivors,624,non-small-cell-lung-cancer-stage-iv
200101,american-lung-association-lung-cancer-survivors,american-lung-association-lung-cancer-survivors,2810,non-small-cell-lung-cancer-adenocarcinoma
200101,american-lung-association-lung-cancer-survivors,american-lung-association-lung-cancer-survivors,2811,non-small-cell-lung-cancer-large-cell
200101,american-lung-association-lung-cancer-survivors,american-lung-association-lung-cancer-survivors,2812,non-small-cell-lung-cancer-squamous-cell
200101,american-lung-association-lung-cancer-survivors,american-lung-association-lung-cancer-survivors,2322,small-cell-lung-cancer
200101,american-lung-association-lung-cancer-survivors,american-lung-association-lung-cancer-survivors,625,small-cell-lung-cancer-general
200101,american-lung-association-lung-cancer-survivors,american-lung-association-lung-cancer-survivors,2323,small-cell-lung-cancer-limited
200101,american-lung-association-lung-cancer-survivors,american-lung-association-lung-cancer-survivors,2324,small-cell-lung-cancer-extensive
200101,american-lung-association-lung-cancer-survivors,american-lung-association-lung-cancer-survivors,2959,egfr-mutations-and-lung-cancer
200101,american-lung-association-lung-cancer-survivors,american-lung-association-lung-cancer-survivors,3066,kras-mutations-and-lung-cancer
200101,american-lung-association-lung-cancer-survivors,american-lung-association-lung-cancer-survivors,2672,neuroendocrine-nets-carcinoid-tumors
200101,american-lung-association-lung-cancer-survivors,american-lung-association-lung-cancer-survivors,626,family-members-and-caregivers
200101,american-lung-association-lung-cancer-survivors,american-lung-association-lung-cancer-survivors,627,treatment-options
200101,american-lung-association-lung-cancer-survivors,american-lung-association-lung-cancer-survivors,2734,complementary-and-alternative-medicine
200101,american-lung-association-lung-cancer-survivors,american-lung-association-lung-cancer-survivors,631,nutrition
200101,american-lung-association-lung-cancer-survivors,american-lung-association-lung-cancer-survivors,628,good-news
200101,american-lung-association-lung-cancer-survivors,american-lung-association-lung-cancer-survivors,629,what-me-worry
200101,american-lung-association-lung-cancer-survivors,american-lung-association-lung-cancer-survivors,2526,hope-friends-and-humor
200101,american-lung-association-lung-cancer-survivors,american-lung-association-lung-cancer-survivors,630,survivor-stories
200101,american-lung-association-lung-cancer-survivors,american-lung-association-lung-cancer-survivors,2320,in-memoriam
200101,american-lung-association-lung-cancer-survivors,american-lung-association-lung-cancer-survivors,2367,lung-cancer-events
200101,american-lung-association-lung-cancer-survivors,american-lung-association-lung-cancer-survivors,1158,lung-cancer-in-the-news
200101,american-lung-association-lung-cancer-survivors,american-lung-association-lung-cancer-survivors,632,help-desk
200102,american-lung-association-lung-disease,american-lung-association-lung-disease,2985,asthma
200102,american-lung-association-lung-disease,american-lung-association-lung-disease,633,lung-infections
200102,american-lung-association-lung-disease,american-lung-association-lung-disease,634,lung-diseases
200102,american-lung-association-lung-disease,american-lung-association-lung-disease,635,living-with-a-lung-disease
200102,american-lung-association-lung-disease,american-lung-association-lung-disease,638,family-and-friends
200102,american-lung-association-lung-disease,american-lung-association-lung-disease,636,symptoms
200102,american-lung-association-lung-disease,american-lung-association-lung-disease,637,treatment
200102,american-lung-association-lung-disease,american-lung-association-lung-disease,639,in-the-news
200133,american-sexual-health-association,american-sexual-health-association,912,prevention
200133,american-sexual-health-association,american-sexual-health-association,2756,chlamydia
200133,american-sexual-health-association,american-sexual-health-association,913,genital-warts
200133,american-sexual-health-association,american-sexual-health-association,914,gonorrhea
200133,american-sexual-health-association,american-sexual-health-association,2758,hepatitis
200133,american-sexual-health-association,american-sexual-health-association,2761,herpes
200133,american-sexual-health-association,american-sexual-health-association,915,hpv
200133,american-sexual-health-association,american-sexual-health-association,916,hiv
200133,american-sexual-health-association,american-sexual-health-association,2759,syphilis
200133,american-sexual-health-association,american-sexual-health-association,2757,trichomoniasis
200133,american-sexual-health-association,american-sexual-health-association,917,other-sexually-transmitted-diseases
200133,american-sexual-health-association,american-sexual-health-association,918,symptoms
200133,american-sexual-health-association,american-sexual-health-association,919,treatment
200133,american-sexual-health-association,american-sexual-health-association,920,emotional-issues-relationships
200133,american-sexual-health-association,american-sexual-health-association,922,in-the-news
200164,amyloidosis,amyloidosis,1420,primary-amyloidosis-al
200164,amyloidosis,amyloidosis,1421,secondary-amyloidosis-aa
200164,amyloidosis,amyloidosis,1422,familial-hereditary-and-ttr-amyloidosis
200164,amyloidosis,amyloidosis,1423,cardiac-amyloidosis-associated-with-wild-type-ttr-isoleucine-122-variant
200164,amyloidosis,amyloidosis,1424,localized-amyloidosis-caa-cutaneous-amyloidosis-and-others
200164,amyloidosis,amyloidosis,1425,treatment-options
200164,amyloidosis,amyloidosis,1426,treatment-centers-health-insurance-and-financial-issues
200164,amyloidosis,amyloidosis,1427,awareness-and-fundraising
200164,amyloidosis,amyloidosis,1428,amyloidosis-in-the-news-and-new-clinical-trials
200164,amyloidosis,amyloidosis,1429,support-group-meetings-and-online-support
200164,amyloidosis,amyloidosis,1430,help-desk
200191,appendix-cancer-pseudomyxoma-peritonei-pmp,appendix-cancer-pseudomyxoma-peritonei-pmp,2000,newly-diagnosed
200191,appendix-cancer-pseudomyxoma-peritonei-pmp,appendix-cancer-pseudomyxoma-peritonei-pmp,2001,living-with-pmp-and-related-cancers
200191,appendix-cancer-pseudomyxoma-peritonei-pmp,appendix-cancer-pseudomyxoma-peritonei-pmp,2976,appendix-cancer
200191,appendix-cancer-pseudomyxoma-peritonei-pmp,appendix-cancer-pseudomyxoma-peritonei-pmp,2977,peritoneal-surface-malignancy-psm
200191,appendix-cancer-pseudomyxoma-peritonei-pmp,appendix-cancer-pseudomyxoma-peritonei-pmp,2310,preparing-for-surgery
200191,appendix-cancer-pseudomyxoma-peritonei-pmp,appendix-cancer-pseudomyxoma-peritonei-pmp,2311,surgery-and-recovery
200191,appendix-cancer-pseudomyxoma-peritonei-pmp,appendix-cancer-pseudomyxoma-peritonei-pmp,2312,pmp-specialists
200191,appendix-cancer-pseudomyxoma-peritonei-pmp,appendix-cancer-pseudomyxoma-peritonei-pmp,2005,nutrition-and-exercise
200191,appendix-cancer-pseudomyxoma-peritonei-pmp,appendix-cancer-pseudomyxoma-peritonei-pmp,2009,awareness-and-advocacy
200191,appendix-cancer-pseudomyxoma-peritonei-pmp,appendix-cancer-pseudomyxoma-peritonei-pmp,2313,research-information
200191,appendix-cancer-pseudomyxoma-peritonei-pmp,appendix-cancer-pseudomyxoma-peritonei-pmp,2314,long-term-survivors-10-years
200191,appendix-cancer-pseudomyxoma-peritonei-pmp,appendix-cancer-pseudomyxoma-peritonei-pmp,2002,treatment
200191,appendix-cancer-pseudomyxoma-peritonei-pmp,appendix-cancer-pseudomyxoma-peritonei-pmp,2007,family-friends-and-caregivers
200041,arthritis-foundation,arthritis-foundation,2948,osteoarthritis
200041,arthritis-foundation,arthritis-foundation,2914,rheumatoid-arthritis-ra-connect
200041,arthritis-foundation,arthritis-foundation,2909,juvenile-arthritis
200041,arthritis-foundation,arthritis-foundation,2949,fibromyalgia
200041,arthritis-foundation,arthritis-foundation,2950,psoriatic-arthritis
200041,arthritis-foundation,arthritis-foundation,2951,gout
200041,arthritis-foundation,arthritis-foundation,2952,ankylosing-spondylitis
200041,arthritis-foundation,arthritis-foundation,2953,sjogrens-syndrome
200041,arthritis-foundation,arthritis-foundation,2954,mctd-uctd
200041,arthritis-foundation,arthritis-foundation,2910,just-diagnosed
200041,arthritis-foundation,arthritis-foundation,2912,medications-and-therapies
200041,arthritis-foundation,arthritis-foundation,2978,complementary-and-alternative
200041,arthritis-foundation,arthritis-foundation,2955,surgery-and-joint-replacement
200041,arthritis-foundation,arthritis-foundation,2911,access-to-healthcare
200041,arthritis-foundation,arthritis-foundation,2913,latest-news-and-research
200041,arthritis-foundation,arthritis-foundation,2956,af-roundtable
200041,arthritis-foundation,arthritis-foundation,3212,local-arthritis-support-networks
200044,autoimmune-diseases,autoimmune-diseases,137,getting-a-diagnosis
200044,autoimmune-diseases,autoimmune-diseases,138,newly-diagnosed
200044,autoimmune-diseases,autoimmune-diseases,139,living-with-an-autoimmune-disease
200044,autoimmune-diseases,autoimmune-diseases,140,symptoms
200044,autoimmune-diseases,autoimmune-diseases,141,treatment
200044,autoimmune-diseases,autoimmune-diseases,142,in-the-news
200045,bacterial-infections,bacterial-infections,143,infections
200045,bacterial-infections,bacterial-infections,144,infections-in-kids
200045,bacterial-infections,bacterial-infections,147,living-with-bacterial-infections
200045,bacterial-infections,bacterial-infections,145,symptoms
200045,bacterial-infections,bacterial-infections,146,treatment
200045,bacterial-infections,bacterial-infections,148,in-the-news
200003,bereavement,bereavement,149,life-after-a-loss
200003,bereavement,bereavement,150,the-grieving-process
200003,bereavement,bereavement,151,support-groups-and-therapy
200003,bereavement,bereavement,152,in-the-news
200061,beyond-celiac,beyond-celiac,283,getting-a-diagnosis
200061,beyond-celiac,beyond-celiac,284,living-with-celiac-disease
200061,beyond-celiac,beyond-celiac,285,managing-symptoms
200061,beyond-celiac,beyond-celiac,286,raising-a-child-with-celiac-disease
200061,beyond-celiac,beyond-celiac,287,gluten-free-food
200061,beyond-celiac,beyond-celiac,2731,gluten-free-in-college
200061,beyond-celiac,beyond-celiac,288,celiac-disease-in-the-news
200061,beyond-celiac,beyond-celiac,2698,advocacy-and-awareness
200047,birth-control-and-contraceptives,birth-control-and-contraceptives,157,choosing-a-method
200047,birth-control-and-contraceptives,birth-control-and-contraceptives,158,talking-to-your-partner
200047,birth-control-and-contraceptives,birth-control-and-contraceptives,159,side-effects-of-birth-control
200047,birth-control-and-contraceptives,birth-control-and-contraceptives,160,contraceptive-failure
200047,birth-control-and-contraceptives,birth-control-and-contraceptives,161,in-the-news
200048,bladder-cancer-advocacy-network,bladder-cancer-advocacy-network,162,newly-diagnosed
200048,bladder-cancer-advocacy-network,bladder-cancer-advocacy-network,163,caregivers-corner
200048,bladder-cancer-advocacy-network,bladder-cancer-advocacy-network,164,taking-charge-how-to-be-a-proactive-patient
200048,bladder-cancer-advocacy-network,bladder-cancer-advocacy-network,165,living-with-non-invasive-bladder-cancer
200048,bladder-cancer-advocacy-network,bladder-cancer-advocacy-network,166,living-with-invasive-bladder-cancer
200048,bladder-cancer-advocacy-network,bladder-cancer-advocacy-network,2525,upper-urinary-tract-tumors
200048,bladder-cancer-advocacy-network,bladder-cancer-advocacy-network,167,metastatic-bladder-cancer
200048,bladder-cancer-advocacy-network,bladder-cancer-advocacy-network,168,life-after-radical-cystectomy
200048,bladder-cancer-advocacy-network,bladder-cancer-advocacy-network,169,treatment-choices
200048,bladder-cancer-advocacy-network,bladder-cancer-advocacy-network,1192,raising-awareness
200048,bladder-cancer-advocacy-network,bladder-cancer-advocacy-network,2688,sharing-loss-and-connecting
200048,bladder-cancer-advocacy-network,bladder-cancer-advocacy-network,2765,off-topic-humor
200048,bladder-cancer-advocacy-network,bladder-cancer-advocacy-network,170,help-desk
200049,bladder-diseases,bladder-diseases,171,infections
200049,bladder-diseases,bladder-diseases,172,diseases
200049,bladder-diseases,bladder-diseases,173,living-with-a-bladder-disease
200049,bladder-diseases,bladder-diseases,176,family-and-friends
200049,bladder-diseases,bladder-diseases,174,symptoms
200049,bladder-diseases,bladder-diseases,175,treatment
200049,bladder-diseases,bladder-diseases,177,in-the-news
200050,blood-and-lymphatic-disorders,blood-and-lymphatic-disorders,178,newly-diagnosed-with-a-blood-disorder
200050,blood-and-lymphatic-disorders,blood-and-lymphatic-disorders,179,newly-diagnosed-with-a-lymphatic-disorder
200050,blood-and-lymphatic-disorders,blood-and-lymphatic-disorders,180,living-with-a-blood-disorder
200050,blood-and-lymphatic-disorders,blood-and-lymphatic-disorders,181,living-with-a-lymphatic-disorder
200050,blood-and-lymphatic-disorders,blood-and-lymphatic-disorders,182,symptoms
200050,blood-and-lymphatic-disorders,blood-and-lymphatic-disorders,183,treatment
200050,blood-and-lymphatic-disorders,blood-and-lymphatic-disorders,184,in-the-news
200051,blood-pressure,blood-pressure,185,controlling-my-high-blood-pressure
200051,blood-pressure,blood-pressure,186,symptoms-of-high-blood-pressure
200051,blood-pressure,blood-pressure,187,treatment-of-high-blood-pressure
200051,blood-pressure,blood-pressure,188,low-blood-pressure
200051,blood-pressure,blood-pressure,189,symptoms-of-low-blood-pressure
200051,blood-pressure,blood-pressure,190,treatment-of-low-blood-pressure
200051,blood-pressure,blood-pressure,191,in-the-news
200052,bones-joints-and-muscles,bones-joints-and-muscles,192,bone-joint-and-muscle-injuries
200052,bones-joints-and-muscles,bones-joints-and-muscles,193,treatment-of-injuries
200052,bones-joints-and-muscles,bones-joints-and-muscles,194,bone-joint-and-muscle-diseases
200052,bones-joints-and-muscles,bones-joints-and-muscles,195,treatment-of-diseases
200052,bones-joints-and-muscles,bones-joints-and-muscles,196,living-with-a-bone-joint-or-muscle-disease
200052,bones-joints-and-muscles,bones-joints-and-muscles,197,family-and-friends
200052,bones-joints-and-muscles,bones-joints-and-muscles,198,in-the-news
200053,brain-and-nervous-system,brain-and-nervous-system,199,brain-injuries
200053,brain-and-nervous-system,brain-and-nervous-system,200,brain-diseases
200053,brain-and-nervous-system,brain-and-nervous-system,201,nervous-system-diseases
200053,brain-and-nervous-system,brain-and-nervous-system,202,caregivers-corner
200053,brain-and-nervous-system,brain-and-nervous-system,203,living-with-a-brain-or-nervous-system-disease
200053,brain-and-nervous-system,brain-and-nervous-system,206,family-and-friends
200053,brain-and-nervous-system,brain-and-nervous-system,204,symptoms
200053,brain-and-nervous-system,brain-and-nervous-system,205,treatment
200053,brain-and-nervous-system,brain-and-nervous-system,207,in-the-news
200055,breast-cancer,breast-cancer,215,prevention-and-screening
200055,breast-cancer,breast-cancer,216,newly-diagnosed
200055,breast-cancer,breast-cancer,217,living-with-breast-cancer
200055,breast-cancer,breast-cancer,219,surgery-and-other-treatments
200055,breast-cancer,breast-cancer,220,life-after-breast-cancer
200055,breast-cancer,breast-cancer,221,family-and-friends
200055,breast-cancer,breast-cancer,218,symptoms
200055,breast-cancer,breast-cancer,222,in-the-news
200056,bug-borne-diseases,bug-borne-diseases,223,bug-borne-diseases
200056,bug-borne-diseases,bug-borne-diseases,224,lyme-disease
200056,bug-borne-diseases,bug-borne-diseases,227,post-treatment-complications-and-life-after
200056,bug-borne-diseases,bug-borne-diseases,225,symptoms
200056,bug-borne-diseases,bug-borne-diseases,226,treatment
200056,bug-borne-diseases,bug-borne-diseases,228,in-the-news
200058,cancer,cancer,237,getting-a-diagnosis
200058,cancer,cancer,238,finding-a-doctor-second-opinion
200058,cancer,cancer,239,treatment-options
200058,cancer,cancer,240,managing-side-effects
200058,cancer,cancer,241,survivor-stories
200058,cancer,cancer,242,exercise-and-wellness
200058,cancer,cancer,243,nutrition
200058,cancer,cancer,244,complementary-and-alternative-medicine
200058,cancer,cancer,245,caregivers-and-family-members
200058,cancer,cancer,246,financial-and-insurance-issues
200058,cancer,cancer,247,bladder-cancer
200058,cancer,cancer,248,bone-cancer
200058,cancer,cancer,249,brain-cns-cancer
200058,cancer,cancer,250,breast-cancer
200058,cancer,cancer,251,cervical-cancer
200058,cancer,cancer,252,colon-cancer
200058,cancer,cancer,253,esophageal-cancer
200058,cancer,cancer,254,gastric-cancer
200058,cancer,cancer,255,head-and-neck-cancer
200058,cancer,cancer,256,leukemia
200058,cancer,cancer,257,lymphoma
200058,cancer,cancer,258,liver-cancer
200058,cancer,cancer,259,lung-cancer
200058,cancer,cancer,260,melanoma-skin-cancer
200058,cancer,cancer,261,multiple-myeloma
200058,cancer,cancer,262,myelodysplastic-syndromes
200058,cancer,cancer,263,ovarian-cancer
200058,cancer,cancer,264,pancreatic-cancer
200058,cancer,cancer,265,prostate-cancer
200058,cancer,cancer,266,renal-kidney-cancer
200058,cancer,cancer,267,testicular-cancer
200058,cancer,cancer,268,thyroid-cancer
200058,cancer,cancer,269,uterine-cancer
200058,cancer,cancer,270,help-desk
200258,cancer-immunotherapy,cancer-immunotherapy,3096,general
200258,cancer-immunotherapy,cancer-immunotherapy,3097,deciding-on-immunotherapy
200258,cancer-immunotherapy,cancer-immunotherapy,3098,checkpoint-blockade-e-g-opdivo-nivolumab-keytruda-pembrolizumab
200258,cancer-immunotherapy,cancer-immunotherapy,3099,cancer-vaccines
200258,cancer-immunotherapy,cancer-immunotherapy,3100,monoclonal-antibodies-e-g-herceptin-rituxan-avastin-cyramza-etc
200258,cancer-immunotherapy,cancer-immunotherapy,3101,adoptive-cell-car-therapy
200258,cancer-immunotherapy,cancer-immunotherapy,3102,combination-and-other-types-of-immunotherapy
200258,cancer-immunotherapy,cancer-immunotherapy,3103,side-effects-of-immunotherapy
200258,cancer-immunotherapy,cancer-immunotherapy,3104,clinical-trials
200258,cancer-immunotherapy,cancer-immunotherapy,3105,financial-and-insurance-issues
200258,cancer-immunotherapy,cancer-immunotherapy,3106,survivor-stories
200258,cancer-immunotherapy,cancer-immunotherapy,3107,cancer-immunotherapy-month-and-other-awareness-advocacy-initiatives
200059,cancer-treatment,cancer-treatment,271,chemotherapy
