"April 26, 2017 - STILL UNDER CONSTRUCTION - See Columns F though J for basic sales metrics, and Column N for availability (also put note in #clientservices SLACK channel to confirm availability).",,,,,,,,,,
Group,Sent,Opened,Clicked,Total clicks,US-only sends/month (as of March 2017),"UNIQUE RECIPIENTS/month (US-only, as of April 2017) Alex?",Cost Per 1k Send,"Proposed Inventory (in the tool, will need date stamp, client, rep, and what was proposed - amount, months, etc)",Comments,
Encephalitis Global,"77,468",11.00%,1.80%,"4,289","54,228",,$20,,,
Head and Neck Cancer Alliance,"78,250",12.30%,1.90%,"3,660","54,775",,$20,Q3 and Q4 sold out (sold 4/28/17),,
Living After Infertility Resolution,"78,339",12.20%,1.50%,"3,429","54,837",,$20,,,
Digestive System Disorders,"78,756",12.00%,0.30%,"1,037","55,129",,$20,,,
EOS Connections,"79,770",10.50%,1.70%,"5,813","55,839",,$20,,,
iFred Anxiety and Depression,"81,466",8.20%,0.30%,629,"57,026",,$20,,,
"Bones, Joints and Muscles","82,488",12.70%,0.10%,334,"57,742",,$20,,,
Cancer,"85,215",14.10%,0.20%,945,"59,651",,$20,,,
Thyroid Diseases,"85,585",10.40%,0.40%,"1,122","59,910",,$20,,,
Living with Lung Disease,"90,709",16.90%,3.20%,"8,196","63,496",,$20,,,
Invisible Disabilities Association,"94,612",11.40%,0.30%,736,"66,228",,$20,,,
Chronic Pain,"97,682",10.70%,0.20%,"1,231","68,377",,$20,,,
